id,name,slug,pim_id,created_at,updated_at,created_by_id,updated_by_id
1,Tính năng đặc biệt,tinh-nang-dac-biet,,01:56.7,01:56.7,,
2,Hình dạng sản phẩm,hinh-dang-san-pham,,02:23.2,02:23.2,,
3,Bào chế,bao-che,2,34:38.4,56:10.3,,
4,Quốc gia (Xuất xứ thương hiệu),quoc-gia,3,34:38.4,56:10.3,,
5,Mùi vị/Mùi hương,mui-vi-mui-huong,4,34:38.4,56:10.3,,
6,Màu sắc,mau-sac,5,34:38.4,56:10.3,,
7,Đối tượng,doi-tuong,7,34:38.4,56:10.3,,
8,Giới tính,gioi-tinh,6,34:38.4,56:10.3,,
9,Độ tuổi,do-tuoi,8,34:38.4,56:10.3,,
10,Loại da,loai-da,9,34:38.4,56:10.3,,
11,Cảnh Báo,canh-bao,10,34:38.4,56:10.3,,
12,Thương hiệu,thuong-hieu,12,34:38.4,56:10.3,,
13,Loại tóc,loai-toc,11,34:38.4,56:10.3,,
14,Chỉ số chống nắng,chi-so-chong-nang,49,34:38.4,56:10.4,,
75,Tự Nhiên,tu-nhien,,15:03.1,15:03.1,,
